lemma,present,preteritum,supine,class,english
koncentrera,koncentrerar,koncentrerade,koncentrerat,weak1,to concentrate
kritisera,kritiserar,kritiserade,kritiserat,weak1,to criticise
motivera,motiverar,motiverade,motiverat,weak1,to motivate
inspirera,inspirerar,inspirerade,inspirerat,weak1,to inspire
ignorera,ignorerar,ignorerade,ignorerat,weak1,to ignore
respektera,respekterar,respekterade,respekterat,weak1,to respect
kombinera,kombinerar,kombinerade,kombinerat,weak1,to combine
formulera,formulerar,formulerade,formulerat,weak1,to formulate
garantera,garanterar,garanterade,garanterat,weak1,to guarantee
riskera,riskerar,riskerade,riskerat,weak1,to risk
existera,existerar,existerade,existerat,weak1,to exist
variera,varierar,varierade,varierat,weak1,to vary
reflektera,reflekterar,reflekterade,reflekterat,weak1,to reflect
kontrollera,kontrollerar,kontrollerade,kontrollerat,weak1,to control / check
registrera,registrerar,registrerade,registrerat,weak1,to register
publicera,publicerar,publicerade,publicerat,weak1,to publish
producera,producerar,producerade,producerat,weak1,to produce
importera,importerar,importerade,importerat,weak1,to import
exportera,exporterar,exporterade,exporterat,weak1,to export
installera,installerar,installerade,installerat,weak1,to install
uppdatera,uppdaterar,uppdaterade,uppdaterat,weak1,to update
ladda,laddar,laddade,laddat,weak1,to load / charge
dela,delar,delade,delat,weak1,to share / divide
tvinga,tvingar,tvingade,tvingat,weak1,to force
ställa,ställer,ställde,ställt,weak2a,to place
tända,tänder,tände,tänt,weak2a,to light
vända,vänder,vände,vänt,weak2a,to turn
sända,sänder,sände,sänt,weak2a,to send / broadcast
bränna,bränner,brände,bränt,weak2a,to burn
värma,värmer,värmde,värmt,weak2a,to warm
hänga,hänger,hängde,hängt,weak2a,to hang
böja,böjer,böjde,böjt,weak2a,to bend
stämma,stämmer,stämde,stämt,weak2a,to be correct / tune
drömma,drömmer,drömde,drömt,weak2a,to dream
spänna,spänner,spände,spänt,weak2a,to tighten
förstöra,förstör,förstörde,förstört,weak2a,to destroy
störa,stör,störde,stört,weak2a,to disturb
röra,rör,rörde,rört,weak2a,to move / touch
gömma,gömmer,gömde,gömt,weak2a,to hide
döma,dömer,dömde,dömt,weak2a,to judge
föda,föder,födde,fött,weak2a,to give birth / feed
väga,väger,vägde,vägt,weak2a,to weigh
hyra,hyr,hyrde,hyrt,weak2a,to rent
röka,röker,rökte,rökt,weak2b,to smoke
räcka,räcker,räckte,räckt,weak2b,to suffice / reach
klippa,klipper,klippte,klippt,weak2b,to cut / clip
släppa,släpper,släppte,släppt,weak2b,to release
mäta,mäter,mätte,mätt,weak2b,to measure
växa,växer,växte,växt,weak2b,to grow
väcka,väcker,väckte,väckt,weak2b,to wake
sträcka,sträcker,sträckte,sträckt,weak2b,to stretch
kyssa,kysser,kysste,kysst,weak2b,to kiss
lyfta,lyfter,lyfte,lyft,weak2b,to lift
steka,steker,stekte,stekt,weak2b,to fry
löpa,löper,löpte,löpt,weak2b,to run
gifta,gifter,gifte,gift,weak2b,to marry
sköta,sköter,skötte,skött,weak2b,to look after
sy,syr,sydde,sytt,weak3,to sew
må,mår,mådde,mått,weak3,to feel
ske,sker,skedde,skett,weak3,to happen
nå,når,nådde,nått,weak3,to reach
klä,klär,klädde,klätt,weak3,to dress
strö,strör,strödde,strött,weak3,to sprinkle
bre,brer,bredde,brett,weak3,to spread
spå,spår,spådde,spått,weak3,to foretell
ro,ror,rodde,rott,weak3,to row
fly,flyr,flydde,flytt,weak3,to flee
binda,binder,band,bundit,strong,to tie / bind
brinna,brinner,brann,brunnit,strong,to burn
sjunka,sjunker,sjönk,sjunkit,strong,to sink
stjäla,stjäl,stal,stulit,strong,to steal
skjuta,skjuter,sköt,skjutit,strong,to shoot
njuta,njuter,njöt,njutit,strong,to enjoy
bryta,bryter,bröt,brutit,strong,to break
flyta,flyter,flöt,flutit,strong,to float
knyta,knyter,knöt,knutit,strong,to tie
rida,rider,red,ridit,strong,to ride
bita,biter,bet,bitit,strong,to bite
lida,lider,led,lidit,strong,to suffer
vika,viker,vek,vikit,strong,to fold
skrika,skriker,skrek,skrikit,strong,to scream
skina,skiner,sken,skinit,strong,to shine
stiga,stiger,steg,stigit,strong,to rise / step
gripa,griper,grep,gripit,strong,to grab
dö,dör,dog,dött,strong,to die
be,ber,bad,bett,strong,to ask / pray
le,ler,log,lett,strong,to smile
gråta,gråter,grät,gråtit,strong,to cry
fara,far,for,farit,strong,to travel
låta,låter,lät,låtit,strong,to let / sound
försvinna,försvinner,försvann,försvunnit,strong,to disappear
erbjuda,erbjuder,erbjöd,erbjudit,strong,to offer
hugga,hugger,högg,huggit,strong,to chop
skära,skär,skar,skurit,strong,to cut
krypa,kryper,kröp,krupit,strong,to crawl
frysa,fryser,frös,frusit,strong,to freeze
ljuga,ljuger,ljög,ljugit,strong,to lie / fib
tiga,tiger,teg,tigit,strong,to keep silent
driva,driver,drev,drivit,strong,to drive / drift
riva,river,rev,rivit,strong,to tear
sprida,sprider,spred,spridit,strong,to spread
vrida,vrider,vred,vridit,strong,to twist
glida,glider,gled,glidit,strong,to glide
kliva,kliver,klev,klivit,strong,to stride
strida,strider,stred,stridit,strong,to fight
smyga,smyger,smög,smugit,strong,to sneak
dyka,dyker,dök,dykit,strong,to dive
suga,suger,sög,sugit,strong,to suck
dölja,döljer,dolde,dolt,irregular_weak,to hide
skilja,skiljer,skilde,skilt,irregular_weak,to separate
glädja,gläder,gladde,glatt,irregular_weak,to gladden
andas,andas,andades,andats,deponent,to breathe
umgås,umgås,umgicks,umgåtts,deponent,to socialise
skämmas,skäms,skämdes,skämts,deponent,to be ashamed
låtsas,låtsas,låtsades,låtsats,deponent,to pretend
synas,syns,syntes,synts,deponent,to be seen / seem
hämnas,hämnas,hämnades,hämnats,deponent,to take revenge
färdas,färdas,färdades,färdats,deponent,to travel
vistas,vistas,vistades,vistats,deponent,to stay
åldras,åldras,åldrades,åldrats,deponent,to age
envisas,envisas,envisades,envisats,deponent,to be stubborn
svettas,svettas,svettades,svettats,deponent,to sweat
spricka,spricker,sprack,spruckit,strong,to crack / burst
